date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:59	698/698	---M--	200	added ('OK')	image/svg+xml	etag:%223f5237e880d866e4ed638b7e054d3871%22	https://framerusercontent.com/assets/TgUg4wTZI51YRSQytxp3BY7Pyb0.svg	C:/My%20Web%20Sites/nfactorial/framerusercontent.com/assets/TgUg4wTZI51YRSQytxp3BY7Pyb0.svg	(from https://www.nfactorial.school/)
15:11:59	2237/2237	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c27d06b8d326e4894f1b8ec12ffff4e6%22	https://framerusercontent.com/assets/e21DWssAA54NlMT7AR8VcWRIPQ0.svg	C:/My%20Web%20Sites/nfactorial/framerusercontent.com/assets/e21DWssAA54NlMT7AR8VcWRIPQ0.svg	(from https://www.nfactorial.school/)
15:11:59	1775/1775	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d6f51593bdb3ee9ac8880ceafe8bb95f%22	https://framerusercontent.com/assets/oAVYMfEWwx7NoFvt65VfXpFzo.svg	C:/My%20Web%20Sites/nfactorial/framerusercontent.com/assets/oAVYMfEWwx7NoFvt65VfXpFzo.svg	(from https://www.nfactorial.school/)
15:12:00	406030/406030	---MC-	200	added ('OK')	image/png	etag:%22ee06ea747e227f96b34cbb07b9e318de%22	https://framerusercontent.com/images/YQtk06puQtTW7JmaQDFZU6zteQ.png	C:/My%20Web%20Sites/nfactorial/framerusercontent.com/images/YQtk06puQtTW7JmaQDFZU6zteQ.png	(from https://www.nfactorial.school/)
15:12:00	2448/2448	---MC-	200	added ('OK')	image/svg+xml	etag:%2280962377f885ebb509ee3357638be610%22	https://framerusercontent.com/images/ghl0pzlrXLKtWCHq7JOUTEXq6E.svg	C:/My%20Web%20Sites/nfactorial/framerusercontent.com/images/ghl0pzlrXLKtWCHq7JOUTEXq6E.svg	(from https://www.nfactorial.school/)
15:12:00	3555/3555	---MC-	200	added ('OK')	image/svg+xml	etag:%22a9325676a22237dfc5f516a750c240b6%22	https://framerusercontent.com/images/ofzo8B7LAl82KWYBJlZSmNFt5ow.svg	C:/My%20Web%20Sites/nfactorial/framerusercontent.com/images/ofzo8B7LAl82KWYBJlZSmNFt5ow.svg	(from https://www.nfactorial.school/)
15:12:00	695/695	---MC-	200	added ('OK')	image/svg+xml	etag:%22dabbf932c7096a0cc7a3bd24851784eb%22	https://framerusercontent.com/images/ZrsULlpqml7lSr1XdA9OcWu54.svg	C:/My%20Web%20Sites/nfactorial/framerusercontent.com/images/ZrsULlpqml7lSr1XdA9OcWu54.svg	(from https://www.nfactorial.school/)
15:12:01	2113/2113	---MC-	200	added ('OK')	image/svg+xml	etag:%22e33a480fc4d5fa59ae3710fa663b4c69%22	https://framerusercontent.com/images/WoHXn0KpP8dKyTyoUpoSL6xy9wg.svg	C:/My%20Web%20Sites/nfactorial/framerusercontent.com/images/WoHXn0KpP8dKyTyoUpoSL6xy9wg.svg	(from https://www.nfactorial.school/)
15:12:01	1890/1890	---MC-	200	added ('OK')	image/svg+xml	etag:%22ca4daa593f9799f48f24ec65aaecf978%22	https://framerusercontent.com/images/YJSVdYGAGYNoAWPRD4KGvQsQsno.svg	C:/My%20Web%20Sites/nfactorial/framerusercontent.com/images/YJSVdYGAGYNoAWPRD4KGvQsQsno.svg	(from https://www.nfactorial.school/)
15:12:01	18872/18872	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22497344b3a469821936a5bf9308eefd68%22	https://framerusercontent.com/assets/HXtrP5HHCUmLf2QsV2GDCinGOI.svg	C:/My%20Web%20Sites/nfactorial/framerusercontent.com/assets/HXtrP5HHCUmLf2QsV2GDCinGOI.svg	(from https://www.nfactorial.school/)
